Day,Low,High,Conditions
Today,-7,3,Cold
Thu,-7,15,Cloudy
Fri,9,16,Snow
Sat,4,10,Sunny
Sun,-4,14,Partly cloudy
Mon,-7,15,Partly cloudy
Tue,15,26,Snow
