Day,Low,High,Conditions
Today,76,86,Rain
Thu,72,79,Heavy rain
Fri,70,82,Rain
Sat,72,84,Rain
Sun,73,84,Drizzle
Mon,71,83,Cloudy
Tue,71,86,Partly cloudy
